Date,Year,Month,Month_Name,Week,Day_of_Week,Quarter,Is_Weekend
2020-01-22,2020,1,January,4,Wednesday,1,False
2020-01-23,2020,1,January,4,Thursday,1,False
2020-01-24,2020,1,January,4,Friday,1,False
2020-01-25,2020,1,January,4,Saturday,1,True
2020-01-26,2020,1,January,4,Sunday,1,True
2020-01-27,2020,1,January,5,Monday,1,False
2020-01-28,2020,1,January,5,Tuesday,1,False
2020-01-29,2020,1,January,5,Wednesday,1,False
2020-01-30,2020,1,January,5,Thursday,1,False
2020-01-31,2020,1,January,5,Friday,1,False
2020-02-01,2020,2,February,5,Saturday,1,True
2020-02-02,2020,2,February,5,Sunday,1,True
2020-02-03,2020,2,February,6,Monday,1,False
2020-02-04,2020,2,February,6,Tuesday,1,False
2020-02-05,2020,2,February,6,Wednesday,1,False
2020-02-06,2020,2,February,6,Thursday,1,False
2020-02-07,2020,2,February,6,Friday,1,False
2020-02-08,2020,2,February,6,Saturday,1,True
2020-02-09,2020,2,February,6,Sunday,1,True
2020-02-10,2020,2,February,7,Monday,1,False
2020-02-11,2020,2,February,7,Tuesday,1,False
2020-02-12,2020,2,February,7,Wednesday,1,False
2020-02-13,2020,2,February,7,Thursday,1,False
2020-02-14,2020,2,February,7,Friday,1,False
2020-02-15,2020,2,February,7,Saturday,1,True
2020-02-16,2020,2,February,7,Sunday,1,True
2020-02-17,2020,2,February,8,Monday,1,False
2020-02-18,2020,2,February,8,Tuesday,1,False
2020-02-19,2020,2,February,8,Wednesday,1,False
2020-02-20,2020,2,February,8,Thursday,1,False
2020-02-21,2020,2,February,8,Friday,1,False
2020-02-22,2020,2,February,8,Saturday,1,True
2020-02-23,2020,2,February,8,Sunday,1,True
2020-02-24,2020,2,February,9,Monday,1,False
2020-02-25,2020,2,February,9,Tuesday,1,False
2020-02-26,2020,2,February,9,Wednesday,1,False
2020-02-27,2020,2,February,9,Thursday,1,False
2020-02-28,2020,2,February,9,Friday,1,False
2020-02-29,2020,2,February,9,Saturday,1,True
2020-03-01,2020,3,March,9,Sunday,1,True
2020-03-02,2020,3,March,10,Monday,1,False
2020-03-03,2020,3,March,10,Tuesday,1,False
2020-03-04,2020,3,March,10,Wednesday,1,False
2020-03-05,2020,3,March,10,Thursday,1,False
2020-03-06,2020,3,March,10,Friday,1,False
2020-03-07,2020,3,March,10,Saturday,1,True
2020-03-08,2020,3,March,10,Sunday,1,True
2020-03-09,2020,3,March,11,Monday,1,False
2020-03-10,2020,3,March,11,Tuesday,1,False
2020-03-11,2020,3,March,11,Wednesday,1,False
2020-03-12,2020,3,March,11,Thursday,1,False
2020-03-13,2020,3,March,11,Friday,1,False
2020-03-14,2020,3,March,11,Saturday,1,True
2020-03-15,2020,3,March,11,Sunday,1,True
2020-03-16,2020,3,March,12,Monday,1,False
2020-03-17,2020,3,March,12,Tuesday,1,False
2020-03-18,2020,3,March,12,Wednesday,1,False
2020-03-19,2020,3,March,12,Thursday,1,False
2020-03-20,2020,3,March,12,Friday,1,False
2020-03-21,2020,3,March,12,Saturday,1,True
2020-03-22,2020,3,March,12,Sunday,1,True
2020-03-23,2020,3,March,13,Monday,1,False
2020-03-24,2020,3,March,13,Tuesday,1,False
2020-03-25,2020,3,March,13,Wednesday,1,False
2020-03-26,2020,3,March,13,Thursday,1,False
2020-03-27,2020,3,March,13,Friday,1,False
2020-03-28,2020,3,March,13,Saturday,1,True
2020-03-29,2020,3,March,13,Sunday,1,True
2020-03-30,2020,3,March,14,Monday,1,False
2020-03-31,2020,3,March,14,Tuesday,1,False
2020-04-01,2020,4,April,14,Wednesday,2,False
2020-04-02,2020,4,April,14,Thursday,2,False
2020-04-03,2020,4,April,14,Friday,2,False
2020-04-04,2020,4,April,14,Saturday,2,True
2020-04-05,2020,4,April,14,Sunday,2,True
2020-04-06,2020,4,April,15,Monday,2,False
2020-04-07,2020,4,April,15,Tuesday,2,False
2020-04-08,2020,4,April,15,Wednesday,2,False
2020-04-09,2020,4,April,15,Thursday,2,False
2020-04-10,2020,4,April,15,Friday,2,False
2020-04-11,2020,4,April,15,Saturday,2,True
2020-04-12,2020,4,April,15,Sunday,2,True
2020-04-13,2020,4,April,16,Monday,2,False
2020-04-14,2020,4,April,16,Tuesday,2,False
2020-04-15,2020,4,April,16,Wednesday,2,False
2020-04-16,2020,4,April,16,Thursday,2,False
2020-04-17,2020,4,April,16,Friday,2,False
2020-04-18,2020,4,April,16,Saturday,2,True
2020-04-19,2020,4,April,16,Sunday,2,True
2020-04-20,2020,4,April,17,Monday,2,False
2020-04-21,2020,4,April,17,Tuesday,2,False
2020-04-22,2020,4,April,17,Wednesday,2,False
2020-04-23,2020,4,April,17,Thursday,2,False
2020-04-24,2020,4,April,17,Friday,2,False
2020-04-25,2020,4,April,17,Saturday,2,True
2020-04-26,2020,4,April,17,Sunday,2,True
2020-04-27,2020,4,April,18,Monday,2,False
2020-04-28,2020,4,April,18,Tuesday,2,False
2020-04-29,2020,4,April,18,Wednesday,2,False
2020-04-30,2020,4,April,18,Thursday,2,False
2020-05-01,2020,5,May,18,Friday,2,False
2020-05-02,2020,5,May,18,Saturday,2,True
2020-05-03,2020,5,May,18,Sunday,2,True
2020-05-04,2020,5,May,19,Monday,2,False
2020-05-05,2020,5,May,19,Tuesday,2,False
2020-05-06,2020,5,May,19,Wednesday,2,False
2020-05-07,2020,5,May,19,Thursday,2,False
2020-05-08,2020,5,May,19,Friday,2,False
2020-05-09,2020,5,May,19,Saturday,2,True
2020-05-10,2020,5,May,19,Sunday,2,True
2020-05-11,2020,5,May,20,Monday,2,False
2020-05-12,2020,5,May,20,Tuesday,2,False
2020-05-13,2020,5,May,20,Wednesday,2,False
2020-05-14,2020,5,May,20,Thursday,2,False
2020-05-15,2020,5,May,20,Friday,2,False
2020-05-16,2020,5,May,20,Saturday,2,True
2020-05-17,2020,5,May,20,Sunday,2,True
2020-05-18,2020,5,May,21,Monday,2,False
2020-05-19,2020,5,May,21,Tuesday,2,False
2020-05-20,2020,5,May,21,Wednesday,2,False
2020-05-21,2020,5,May,21,Thursday,2,False
2020-05-22,2020,5,May,21,Friday,2,False
2020-05-23,2020,5,May,21,Saturday,2,True
2020-05-24,2020,5,May,21,Sunday,2,True
2020-05-25,2020,5,May,22,Monday,2,False
2020-05-26,2020,5,May,22,Tuesday,2,False
2020-05-27,2020,5,May,22,Wednesday,2,False
2020-05-28,2020,5,May,22,Thursday,2,False
2020-05-29,2020,5,May,22,Friday,2,False
2020-05-30,2020,5,May,22,Saturday,2,True
2020-05-31,2020,5,May,22,Sunday,2,True
2020-06-01,2020,6,June,23,Monday,2,False
2020-06-02,2020,6,June,23,Tuesday,2,False
2020-06-03,2020,6,June,23,Wednesday,2,False
2020-06-04,2020,6,June,23,Thursday,2,False
2020-06-05,2020,6,June,23,Friday,2,False
2020-06-06,2020,6,June,23,Saturday,2,True
2020-06-07,2020,6,June,23,Sunday,2,True
2020-06-08,2020,6,June,24,Monday,2,False
2020-06-09,2020,6,June,24,Tuesday,2,False
2020-06-10,2020,6,June,24,Wednesday,2,False
2020-06-11,2020,6,June,24,Thursday,2,False
2020-06-12,2020,6,June,24,Friday,2,False
2020-06-13,2020,6,June,24,Saturday,2,True
2020-06-14,2020,6,June,24,Sunday,2,True
2020-06-15,2020,6,June,25,Monday,2,False
2020-06-16,2020,6,June,25,Tuesday,2,False
2020-06-17,2020,6,June,25,Wednesday,2,False
2020-06-18,2020,6,June,25,Thursday,2,False
2020-06-19,2020,6,June,25,Friday,2,False
2020-06-20,2020,6,June,25,Saturday,2,True
2020-06-21,2020,6,June,25,Sunday,2,True
2020-06-22,2020,6,June,26,Monday,2,False
2020-06-23,2020,6,June,26,Tuesday,2,False
2020-06-24,2020,6,June,26,Wednesday,2,False
2020-06-25,2020,6,June,26,Thursday,2,False
2020-06-26,2020,6,June,26,Friday,2,False
2020-06-27,2020,6,June,26,Saturday,2,True
2020-06-28,2020,6,June,26,Sunday,2,True
2020-06-29,2020,6,June,27,Monday,2,False
2020-06-30,2020,6,June,27,Tuesday,2,False
2020-07-01,2020,7,July,27,Wednesday,3,False
2020-07-02,2020,7,July,27,Thursday,3,False
2020-07-03,2020,7,July,27,Friday,3,False
2020-07-04,2020,7,July,27,Saturday,3,True
2020-07-05,2020,7,July,27,Sunday,3,True
2020-07-06,2020,7,July,28,Monday,3,False
2020-07-07,2020,7,July,28,Tuesday,3,False
2020-07-08,2020,7,July,28,Wednesday,3,False
2020-07-09,2020,7,July,28,Thursday,3,False
2020-07-10,2020,7,July,28,Friday,3,False
2020-07-11,2020,7,July,28,Saturday,3,True
2020-07-12,2020,7,July,28,Sunday,3,True
2020-07-13,2020,7,July,29,Monday,3,False
2020-07-14,2020,7,July,29,Tuesday,3,False
2020-07-15,2020,7,July,29,Wednesday,3,False
2020-07-16,2020,7,July,29,Thursday,3,False
2020-07-17,2020,7,July,29,Friday,3,False
2020-07-18,2020,7,July,29,Saturday,3,True
2020-07-19,2020,7,July,29,Sunday,3,True
2020-07-20,2020,7,July,30,Monday,3,False
2020-07-21,2020,7,July,30,Tuesday,3,False
2020-07-22,2020,7,July,30,Wednesday,3,False
2020-07-23,2020,7,July,30,Thursday,3,False
2020-07-24,2020,7,July,30,Friday,3,False
2020-07-25,2020,7,July,30,Saturday,3,True
2020-07-26,2020,7,July,30,Sunday,3,True
2020-07-27,2020,7,July,31,Monday,3,False
